id,city,country,lat,long,temp,humidity,cloudiness,windspeed
2996180,Manosque,FR,43.8288,5.7869,46.36,63,6,17.87
3361934,Saldanha,ZA,-33.0117,17.9442,69.85,67,2,21.07
3471094,Baixa Grande,BR,-11.9597,-40.1681,79.92,66,100,2.95
2035836,Manzhouli,CN,49.6,117.4333,6.46,86,10,10.71
5914132,Campbell River,CA,50.0163,-125.2446,38.73,97,75,1.01
1327659,Chauk,MM,20.8833,94.8167,73.35,64,4,1.97
3833367,Ushuaia,AR,-54.8,-68.3,51.46,54,75,12.66
3860443,Comodoro Rivadavia,AR,-45.8667,-67.5,58.86,38,75,14.97
3904906,Santa Cruz de la Sierra,BO,-17.8,-63.1667,74.66,88,75,9.22
2315026,Kasongo-Lunda,CD,-6.4667,16.8167,83.3,61,71,2.91
3141667,Roald,NO,62.5833,6.1333,31.14,80,90,3.44
3353383,Rundu,NA,-17.9333,19.7667,77.95,49,89,3.58
359792,Aswān,EG,24.0934,32.907,73.58,26,39,12.15
1150965,Ranong,TH,9.9658,98.6348,76.75,87,81,6.13
3443061,Chui,UY,-33.6971,-53.4616,66.83,60,91,9.73
5364916,Lamont,US,35.2597,-118.9143,51.53,40,100,0.83
1805857,Jieshi,CN,22.8134,115.8257,58.95,47,2,8.66
1792916,Tianpeng,CN,30.9866,103.9393,46.87,61,100,4.97
3653523,Palora,EC,-1.7,-77.9333,77.11,81,99,1.81
2123979,Kuril'sk,RU,45.2333,147.8833,36.41,65,99,21.05
4557109,Chambersburg,US,39.9376,-77.6611,51.28,79,100,8.01
2993874,Arrondissement de Millau,FR,44.0833,2.9167,39.96,89,100,13.82
935215,Saint-Philippe,RE,-21.3585,55.7679,77.83,83,43,13.58
1250615,Badulla,LK,6.9895,81.0557,69.96,95,83,0.04
6113406,Prince Rupert,CA,54.3161,-130.3201,39.09,67,90,11.5
4891382,Evanston,US,42.0411,-87.6901,52.27,68,75,4.0
1515029,Ulaangom,MN,49.9811,92.0667,6.3,84,39,4.36
7647007,Bariloche,AR,-41.1456,-71.3082,55.15,15,0,0.0
1610940,Det Udom,TH,14.906,105.0784,67.82,73,14,9.71
1079048,Ambovombe,MG,-25.1667,46.0833,78.71,69,93,19.37
1488903,Turukhansk,RU,65.8167,87.9833,6.21,95,100,18.54
2501152,Constantine,DZ,36.365,6.6147,53.01,58,75,12.66
4323873,Estelle,US,29.8458,-90.1067,65.01,79,20,4.61
1629965,Tanete,ID,-3.9443,119.7848,76.95,88,100,1.32
1214026,Sabang,ID,5.8933,95.3214,82.06,74,100,5.59
2444995,Filingué,NE,14.3521,3.3168,94.84,9,15,7.38
3024035,Concarneau,FR,47.875,-3.9225,47.14,67,93,14.97
2522325,Agüimes,ES,27.9054,-15.4461,68.25,53,20,28.77
3372707,Ribeira Grande,PT,38.5167,-28.7,64.8,88,75,5.75
1283285,Jumla,NP,29.2747,82.1838,45.61,99,100,4.03
187725,Maralal,KE,1.0968,36.698,65.98,60,75,12.95
2022773,Khandyga,RU,62.6667,135.6,-44.45,100,52,2.06
3836669,San Rafael,AR,-34.6177,-68.3301,70.45,63,70,11.9
3614835,Barra Patuca,HN,15.8,-84.2833,81.1,74,98,9.35
5703673,Elko,US,41.0002,-115.5012,21.22,61,2,4.79
4047434,Russell,US,32.3502,-85.1999,61.61,81,3,7.16
3695675,La Peca,PE,-5.6111,-78.435,73.33,79,95,2.8
3607053,La Rosa,HN,15.35,-87.0667,61.57,75,38,2.08
7288345,Kaupanger,NO,61.1845,7.2404,28.89,86,40,5.75
64435,Berbera,SO,10.4396,45.0143,81.1,54,0,15.86
3533079,Aldama,MX,22.9167,-98.0667,71.28,72,0,3.51
3160100,Beian,NO,63.6559,9.5683,16.21,79,20,6.91
2347758,Bara,NG,10.3744,10.7288,95.23,13,45,7.34
2374583,Bubaque,GW,11.2833,-15.8333,82.11,55,3,6.73
3661894,Tonantins,BR,-2.8731,-67.8022,78.62,91,99,2.59
2122605,Okhotsk,RU,59.3833,143.3,1.29,77,100,25.32
2334756,Kaura Namoda,NG,12.5898,6.5779,92.39,12,76,10.76
6255012,Flinders,AU,-34.5833,150.8552,67.23,83,41,6.22
967106,Oudtshoorn,ZA,-33.5907,22.2014,59.36,73,99,11.18
3769976,Puerto Gaitán,CO,4.3133,-72.0816,84.88,60,97,16.15
3516926,Pinotepa Nacional,MX,16.3167,-98.0167,79.92,61,100,2.1
2138555,Poum,NC,-20.2333,164.0167,80.98,78,96,18.52
4726206,San Antonio,US,29.4241,-98.4936,61.9,95,90,0.0
3939761,Hualmay,PE,-11.0964,-77.6139,69.1,78,84,8.61
6149996,Smithers,CA,54.7804,-127.1743,23.32,86,20,9.22
6185377,Yellowknife,CA,62.456,-114.3525,-0.02,89,75,11.5
5364271,Laguna,US,38.421,-121.4238,47.01,100,90,0.0
3372783,Ponta Delgada,PT,37.7333,-25.6667,65.12,77,75,4.61
1255254,Tadpatri,IN,14.9167,78.0167,74.73,73,26,7.61
3355672,Lüderitz,NA,-26.6481,15.1594,73.83,49,73,36.26
5106841,Albany,US,42.6001,-73.9662,44.55,89,100,1.01
1731248,Alugan,PH,12.2188,125.4808,79.14,83,94,17.05
4115181,Hope,US,33.6671,-93.5916,55.87,53,0,3.51
